timestamp,gender,age,education_level,occupation,dna_knowledge,dna_info_source,support_national_dna_db_bf,dna_db_custodian_bf,dna_db_inclusion_criteria,include_crime_scene_profiles,offense_type_dna_recording,dna_storage_duration,dna_use_family_research,dna_use_disaster_research,dna_use_interpol_cooperation,dna_use_terrorism_fight,privacy_invasion_opinion,voluntary_dna_donation,privacy_risk_concern,database_misuse_concern,dna_use_in_investigations,police_lab_support_need,forensic_dna_private_sector,forensic_dna_autonomous_institution,message_to_investigators
2/22/2021 14:33,Male,16-35,Secondary,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,No,No,"Hello to the initiators of this investigation, for me the use of DNA as forensic evidence in the context of judicial police investigations will truly be a revolution in the resolution of several cases which have until now remained without follow-up due to lack of means to further research. For example, thanks to this we could reopen certain criminal files in order to get our hands on certain criminals still at large due to lack of resources from the security services. Thank you and good day !!!!"
2/22/2021 14:35,Male,16-35,Secondary,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,Yes,Important concerns,Important concerns,I don't know,Yes,No,No,
2/22/2021 14:38,Male,35-60,PhD,Others,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,Convicts and suspects,Yes,All crimes and offenses,Until the death of the condemned,No I do not agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Yes,Important concerns,Important concerns,No,Yes,No,I don't know,Respect the anonymity of the information collected.
2/22/2021 14:41,Male,35-60,Secondary,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,No,No,"Congratulations on the work already done and the work to come. Some of my answers take into account suggestions already made. Otherwise, I hope that there is a need for a genetic database in Burkina, it will be imperative to have a system not only able to protect this information which is naturally private but to ensure that such information cannot be extracted and used for purposes other than surveys. Some of our offenses go unpunished because the technical services do not have the current technology to identify the perpetrators. The offenders are nowadays ahead of the technical services in terms of technology. Let us therefore know that the means used to find the perpetrators of offenses must be of a higher generation than those used by the delinquents, otherwise we will just have statistics."
2/22/2021 14:41,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,No,Others,Important,Ministry responsible for security,Convicts and suspects,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,No,Important concerns,Important concerns,No,Yes,No,I don't know,misuse of DNA data
2/22/2021 14:44,Male,16-35,University,Students,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Convicts and suspects,Yes,All crimes and offenses,Indefinitely,No I do not agree,No I do not agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Minor concerns,No,Yes,No,No,"Very good idea to attract the attention of those responsible first to think about it. But above all, this should not fall on deaf ears. It is imperative if we want to reduce crime, big banditry and terrorism."
2/22/2021 14:50,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,No,Yes,"Great initiative given the multiplicity, complexity and increase in criminal acts under our skies. Notwithstanding, the question of personal data and personality rights risks blocking the process if it is not rigorously framed by texts explaining the utility, and the use of strictly public utility. It also seems to me that to obtain quality data and/or information, it seems judicious to direct the exercise to a specific audience or to explain the key terms, provide the merits of the study and provide guarantees of seriousness and confidence in completing the form... Simplify the questionnaire a little or make it less technical to be sure that everyone who completes the form understands what is being asked of them. Good luck and every success for this noble and inevitable task!!!"
2/22/2021 14:52,Male,16-35,University,Students,I am not sure,Others,Important,Ministry responsible for security,Convicts and suspects,I don't know,All crimes,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,Yes,No,
2/22/2021 14:55,Male,16-35,University,Ministry responsible for security,I am not sure,Others,Not very important,Ministry responsible for security,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,I don't know,Maybe,Yes,Minor concerns,Minor concerns,I don't know,Yes,No,No,Congratulations to you for this vision
2/22/2021 15:12,Male,16-35,PhD,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Important concerns,Important concerns,Maybe,Yes,No,Yes,
2/22/2021 15:13,Male,16-35,University,Students,No,"The media (TV news, radio, documentaries)",Important,An autonomous institution,"Convicts, suspects and volunteers",am indifferent,All crimes,Until acquittal,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Minor concerns,Yes,No,No,No,
2/22/2021 15:16,Male,16-35,Secondary,Ministry responsible for security,Yes,Fiction films,Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,Yes,Yes,Yes,No,Professionalism
2/22/2021 15:17,Male,16-35,University,Ministry responsible for security,Yes,Reading (newspapers and scientific documents),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Minor concerns,No,Yes,No,No,Let them speed up this project which will solve a lot of problems. NB: Even those who flee their parental responsibilities (women or men).
2/22/2021 15:17,Male,35-60,University,Others,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,No I do not agree,Yes I agree,I don't know,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,Yes,Yes,No,No,
2/22/2021 15:19,Male,16-35,PhD,Students,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Convicts and suspects,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,Maybe,Minor concerns,Important concerns,I don't know,Yes,Maybe,No,Very good initiative! Lots of courage and lots of success.
2/22/2021 15:24,Male,35-60,Secondary,Ministry responsible for security,No,Others,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Indifferent,Yes,Yes,Yes,No,Make a DNA database available to Faso
2/22/2021 15:27,Male,35-60,University,Others,Yes,"The media (TV news, radio, documentaries)",Important,The national police and gendarmerie services,Entire population of Burkina Faso,No,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,Yes,Yes,No,No,Excellent sequel
2/22/2021 15:32,Male,16-35,University,Ministry responsible for security,No,Fiction films,Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Maybe,"Yes, but under certain conditions",I don't know,Important concerns,Yes,Yes,Maybe,Maybe,
2/22/2021 15:33,Male,16-35,Secondary,Ministry responsible for security,No,Others,Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,Yes,Yes,No,Yes,Lots of courage to them
2/22/2021 15:41,Male,35-60,University,Ministry responsible for security,Yes,Others,Important,Ministry responsible for security,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,Yes,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,Yes,Maybe,"A DNA database is essential these days to find suspects in a crime area. However, there is a need for rigor in the management of this database."
2/22/2021 15:48,Male,16-35,University,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Important concerns,Yes,Yes,Maybe,Maybe," Great initiative, but will the financial means allow you to achieve the expected objective?"
2/22/2021 16:06,Female,16-35,PhD,Others,Yes,Reading (newspapers and scientific documents),Important,Ministry responsible for security,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,No,Yes,Minor concerns,Minor concerns,I don't know,Yes,No,Yes,
2/22/2021 16:26,Male,35-60,University,Ministry responsible for security,Yes,Fiction films,Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Important concerns,Important concerns,Yes,Yes,No,No,"Encourage them in launching it and really hope that this can see the light of day, but that it regulates the use of DNA in the highest possible security in order to avoid derivatives and settling of scores"
2/22/2021 16:33,Male,35-60,University,Ministry responsible for security,I am not sure,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,Serious crimes only,Until the death of the condemned,"Yes, I agree but in certain circumstances",I don't know,No I do not agree,Yes I agree,No,Maybe,Minor concerns,No problem,No,Yes,No,No,"This survey is welcome because it finally opens up perspectives for parental research. And also, it will make it possible to elucidate certain hidden crimes such as (arson, assassinations, and other road or work accidents). Good luck with your investigation."
2/22/2021 16:47,Male,16-35,University,Ministry responsible for security,No,Others,Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,No,Yes,No,No,A very nice initiative. Congratulations to the initiators. The outcome of this study could allow us to have a very effective technical and scientific police. We hope that the political authorities will support you in achieving your objectives.
2/22/2021 16:53,Male,16-35,Secondary,Ministry responsible for security,I am not sure,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Entire population of Burkina Faso,I don't know,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,Yes,Minor concerns,Important concerns,Yes,Yes,No,Yes,Encouragement and support. Let this see the light of day
2/22/2021 16:55,Male,16-35,University,Others,Yes,Fiction films,Important,An autonomous institution,Entire population of Burkina Faso,Yes,Serious crimes only,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,am indifferent,Important concerns,Maybe,Yes,No,Yes,
2/22/2021 16:59,Male,16-35,Secondary,Ministry responsible for security,I don't know,Others,Important,Ministry of Justice,Entire population of Burkina Faso,Yes,All crimes,Until acquittal,"Yes, I agree but in certain circumstances","Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,No,Important concerns,Important concerns,Yes,Yes,Yes,No,My heartfelt congratulations
2/22/2021 17:59,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Yes,Important concerns,Important concerns,No,Yes,Yes,Maybe,Great initiative if this turns out to be a reality.
2/22/2021 18:25,Male,16-35,Secondary,Ministry responsible for security,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Maybe,Yes,Minor concerns,No problem,No,Yes,No,No,This study would be a great contribution to the legal arsenal
2/22/2021 18:28,Male,16-35,PhD,Others,Yes,Fiction films,Important,An autonomous institution,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,I don't know,Yes, Congratulations
2/22/2021 18:32,Male,16-35,PhD,Others,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,No,Yes,No,Maybe,Lots of courage and do everything possible to make this effective in Burkina Faso
2/22/2021 18:56,Male,16-35,PhD,Students,No,Others,Important,An autonomous institution,Nobody,No,No answer,No answer,Yes I agree,"Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,Yes,"Yes, but under certain conditions",Important concerns,Important concerns,I don't know,Yes,No,Yes,"The risk of violation of fundamental freedoms (privacy and medical confidentiality in particular) is very high. The necessary prerequisite for the creation of such a sensitive database is the establishment of an independent administrative authority with all the guarantees necessary for the protection of DLF. Moreover, the interest in creating such a base is beyond any debate."
2/22/2021 19:21,Male,16-35,PhD,Ministry responsible for security,Yes,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,Yes,"Yes, but under certain conditions",Important concerns,Important concerns,No,Yes,No,Yes,A good initiative which could help in the fight against terrorism and crime as well as in the search for people.
2/22/2021 21:28,Male,16-35,University,Others,I am not sure,"The media (TV news, radio, documentaries)",Important,Others,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,yes I agree but in certain circumstances,Yes I agree,No,"Yes, but under certain conditions",Minor concerns,Important concerns,No,Yes,No,Yes, excellent theme
2/22/2021 22:02,Male,16-35,University,Others,I am not sure,Others,Important,Ministry responsible for security,"Convicts, suspects and volunteers",I don't know,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Minor concerns,I don't know,Yes,No,No,"I find it relevant, because it concerns a subject which can contribute to improving the level of material and immaterial security of society, contribute to making certain legal decisions more effective, etc."
2/22/2021 22:04,Female,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,Ministry of Justice,Condemned,No,Serious crimes only,Until the death of the condemned,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Yes,No,Important concerns,Important concerns,No,Yes,No,No,
2/22/2021 22:23,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,Yes,No problem,Important concerns,I don't know,Yes,No,Yes,Full success to you and we hope that the results are taken into account for the safety of all.
2/22/2021 22:24,Female,16-35,University,Others,Yes,Fiction films,Important,The national police and gendarmerie services,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Until the death of the condemned,Yes I agree,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,Yes,No problem,Important concerns,No,Yes,No,No,A lot of courage.
2/22/2021 22:27,Male,16-35,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Condemned,No,All crimes and offenses,Until acquittal,Yes I agree,Yes I agree,No I do not agree,Yes I agree,Maybe,"Yes, but under certain conditions",Important concerns,Important concerns,Maybe,Yes,No,Yes,It is always necessary to address the issue with the general public for a general opinion of the population on the issue. Congratulations on your initiative
2/22/2021 22:35,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Important,The national police and gendarmerie services,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,Yes,Important concerns,Minor concerns,No,Yes,Yes,No,Think about the versus expertise aspect in your questionnaire. THANKS
2/22/2021 22:36,Male,35-60,University,Students,No,Others,Important,Ministry responsible for security,"Convicts, suspects and volunteers",Yes,All crimes,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,No problem,No problem,Yes,Yes,Yes,No,Congratulations on this initiative.
2/22/2021 22:38,Female,16-35,University,Students,I am not sure,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Important concerns,Important concerns,Yes,Yes,Yes,Yes, Good luck
2/22/2021 22:38,Male,35-60,University,Others,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,Yes,Yes,No,Yes,May the good Lord facilitate the completion of this noble mission.
2/22/2021 22:39,Male,16-35,University,Students,I am not sure,"The media (TV news, radio, documentaries)",Important,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,Yes I agree,"Yes, I agree but in certain circumstances",Yes I agree,Yes I agree,No,Yes,Minor concerns,Important concerns,No,Yes,No,Yes,Lead the fight well so that in a few years forensic investigations can help the FDS in their work
2/22/2021 22:40,Male,35-60,PhD,Ministry of Higher Education and Scientific Research,Yes,During my studies (secondary and/or higher),Ineffective,An autonomous institution,Entire population of Burkina Faso,Yes,All crimes and offenses,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,I don't know,No,"Yes, but under certain conditions",Minor concerns,Indifferent,No,Yes,No,Yes,"In Burkina, for the moment, we first need to properly address each Burkinabè. For all Burkinabè people, this project is utopian for the moment."
2/22/2021 22:43,Female,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Entire population of Burkina Faso,Yes,Serious crimes only,Indefinitely,"Yes, I agree but in certain circumstances",Yes I agree,yes I agree but in certain circumstances,Yes I agree,Maybe,"Yes, but under certain conditions",Minor concerns,Important concerns,I don't know,Yes,No,Yes,
2/22/2021 22:43,Male,16-35,University,Students,Yes,"The media (TV news, radio, documentaries)",Important,Ministry of Justice,Condemned,Yes,All crimes,Until the death of the condemned,No I do not agree,"Yes, I agree but in certain circumstances",yes I agree but in certain circumstances,yes I agree but in certain circumstances,Maybe,No,Important concerns,Important concerns,I don't know,Yes,Maybe,Yes,"The theme is very interesting and informative, especially for a country which has qualified people for the work but no material to express their know-how."
2/22/2021 22:44,Female,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,An autonomous institution,Convicts and suspects,Yes,All crimes,Until the death of the condemned,Yes I agree,Yes I agree,Yes I agree,Yes I agree,Yes,"Yes, but under certain conditions",Important concerns,Important concerns,No,No,Maybe,Yes,
2/22/2021 22:46,Male,16-35,University,Students,Yes,During my studies (secondary and/or higher),Important,Ministry responsible for security,"Convicts, suspects and volunteers",Yes,All crimes and offenses,Indefinitely,Yes I agree,Yes I agree,Yes I agree,Yes I agree,No,"Yes, but under certain conditions",Important concerns,Important concerns,Yes,Yes,No,Yes,A very great initiative which should be encouraged and supported!
