276,9,flow,,,,,,,
10/1/1995,25,28,41,2.5,5,16.5,171.87,114,1.26
11/1/1995,25,26,69,2.2,4,14.2,111.89,24,0.233
12/1/1995,24,27,71,2.5,5,15.2,118.17,48,0.047
1/1/1996,25,27,61,2.2,6,17,136.14,3,0
2/1/1996,26,28,63,1.7,5,16.4,117.1,44,0
3/1/1996,25,28,73,1.7,6,18.7,131.34,105,0
4/1/1996,24,29,62,1.4,5,17.1,126.73,156,0
5/1/1996,23,27,74,1.7,4,15.1,109.96,209,0
6/1/1996,25,27,89,1.4,4,14.8,91.56,155,1.8
7/1/1996,23,27,78,1.4,3,13.4,95.55,94,5.37
8/1/1996,24,28,91,1.7,4,15.3,96.4,150,13.2
9/1/1996,24,27,74,2.2,3,13.9,107.71,129,23.5
10/1/1996,23,26,79,2.5,5,16.5,113.06,184,13
11/1/1996,24,26,63,2.2,4,14.2,116.71,3,5.27
12/1/1996,24,27,65,2.5,5,15.2,126.7,15,1.27
1/1/1997,25,27,65,2.8,6,17,140.75,23,0.143
2/1/1997,24,27,56,1.9,5,16.4,122.91,0,1.41
3/1/1997,23,28,69,1.7,6,18.7,132.06,65,1.7
4/1/1997,25,26,70,1.1,5,17.1,112.66,114,1.01
5/1/1997,25,27,76,1.1,3,13.6,96.64,193,0
6/1/1997,24,30,82,0.8,3,13.3,90.04,139,1.2
7/1/1997,23,28,79,1.1,2,12,87.86,54,1.16
8/1/1997,23,28,79,1.4,3,13.8,98.52,35,0
9/1/1997,24,27,73,1.7,2,12.4,96.41,136,1
10/1/1997,25,27,75,1.9,4,15,111.17,106,1.26
11/1/1997,24,28,70,1.9,3,12.8,102.76,139,2.62
12/1/1997,25,28,66,2.2,4,13.8,119.54,5,1.07
1/1/1998,24,29,71,2.2,6,17,127.49,1,0.625
2/1/1998,25,29,66,1.7,5,16.4,114.8,23,0.341
3/1/1998,24,31,67,1.7,6,18.7,142.25,16,0.057
4/1/1998,23,29,79,1.4,5,17.1,113.52,104,0
5/1/1998,24,28,73,1.7,3,13.6,107.04,105,0.267
6/1/1998,24,27,73,1.4,3,13.3,96.67,196,0.497
7/1/1998,23,29,70,1.4,2,12,98.08,38,0.552
8/1/1998,25,28,84,1.2,3,13.8,95.12,104,0.566
9/1/1998,25,27,85,2.2,2,12.4,87.44,167,9.46
10/1/1998,24,28,77,2.5,4,15,114.69,120,18.6
11/1/1998,24,27,79,2.2,3,12.8,93.75,63,1.61
12/1/1998,25,27,70,2.5,4,13.8,115.67,20,0.443
1/1/1999,25,28,61,2.2,6,17,139.59,2,0.711
2/1/1999,25,28,57,1.7,5,16.4,121.11,66,0.015
3/1/1999,24,29,72,1.7,6,18.7,133,119,0.472
4/1/1999,24,28,79,1.4,5,17.1,111.57,141,0.03
5/1/1999,25,29,75,1.7,3,13.6,107.52,120,0.004
6/1/1999,24,27,77,1.4,3,13.3,94.34,282,2.01
7/1/1999,24,27,74,1.4,2,12,92.28,78,5.96
8/1/1999,24,30,88,1.2,3,13.8,93.76,108,1.7
9/1/1999,24,29,89,2.2,2,12.4,84.73,175,10.2
10/1/1999,25,27,92,2.5,4,15,91.37,217,2.69
11/1/1999,25,30,79,2.2,3,12.8,98.71,85,1.55
12/1/1999,26,29,75,2.5,4,13.8,114.37,18,0.07
1/1/2000,25,27,76,2.2,6,17,118.08,16,0.008
2/1/2000,26,28,44,1.7,5,16.4,132.05,21,0
3/1/2000,26,29,70,1.7,6,18.7,137.11,96,1.521
4/1/2000,25,29,73,1.4,5,17.1,119.92,171,1.525
5/1/2000,24,28,84,1.7,3,13.6,95.57,149,4.967
6/1/2000,24,30,81,1.4,3,13.3,95.5,188,2.94
7/1/2000,24,25,79,1.4,2,12,86.23,88,1.05
8/1/2000,26,29,88,1.2,3,13.8,94.15,280,0.298
9/1/2000,23,27,89,2.2,2,12.4,81.9,182,0.386
10/1/2000,23,27,82,2.5,4,15,104.07,79,0.507
11/1/2000,24,27,76,2.2,3,12.8,97.51,58,0.099
12/1/2000,24,26,71,2.5,4,13.8,111.48,7,0
1/1/2001,25,28,52,2.2,6,17,148.66,4,0
2/1/2001,25,28,70,1.7,7,19.4,121.47,6,0
3/1/2001,25,31,75,1.7,6,18.7,136.42,48,0
4/1/2001,23,27,74,1.4,5,17.1,114.12,147,0.039
5/1/2001,24,27,80,1.7,3,13.6,97.25,149,0
6/1/2001,25,28,81,1.4,3,13.3,91.89,201,0
7/1/2001,25,28,77,1.4,2,12,92.66,56,0
8/1/2001,24,29,78,1.2,3,13.8,99.93,109,1.14
9/1/2001,25,28,77,2.2,2,12.4,98.79,177,12.5
10/1/2001,25,29,90,2.5,4,15,99.15,88,6.42
11/1/2001,24,26,72,2.2,3,12.8,102,108,1.49
12/1/2001,24,26,70,2.5,4,13.8,112.34,13,0.012
1/1/2002,24,29,65,2.2,6,17,134.33,13,0
2/1/2002,25,29,68,1.7,5,16.4,113.38,21,0
3/1/2002,24,30,66,1.7,6,18.7,140.55,181,0
4/1/2002,24,29,76,1.4,5,17.1,116.38,50,0
5/1/2002,25,27,82,1.7,3,13.6,98.77,132,0.007
6/1/2002,22,25,90,1.4,3,13.3,79.79,322,0.004
7/1/2002,23,26,87,1.4,2,12,78.61,160,0.01
8/1/2002,24,28,78,1.2,3,13.8,98.48,102,0.168
9/1/2002,23,26,79,2.2,2,12.4,91.78,155,7.18
10/1/2002,25,27,60,2.5,4,15,136.88,137,6.67
11/1/2002,25,28,64,2.2,3,12.8,115.52,50,1.75
12/1/2002,24,27,71,2.5,4,13.8,113.57,13,0.027
1/1/2003,23,28,59,2.5,6,17,142.35,2.8,0.541
2/1/2003,25,29,62,2.2,5,16.4,126.35,91.2,0.143
3/1/2003,23,28,66,1.9,6,18.7,137.36,46.7,0.164
4/1/2003,25,29,75,1.4,5,17.1,118.17,153.3,0.163
5/1/2003,24,25,87,1.7,3,13.6,89.48,89.5,0.393
6/1/2003,24,26,87,1.4,3,13.3,83.1,168.5,6.5
7/1/2003,26,27,82,1.7,2,12,88.34,129.3,2.19
8/1/2003,26,29,80,1.7,3,13.8,103.57,40,0.885
9/1/2003,25,29,82,1.4,2,12.4,90.38,190.9,2.45
10/1/2003,24,27,87,1.4,5,16.5,104.98,57.4,193.33
11/1/2003,24,25,80,1.7,5,15.7,99.06,87,0.283
12/1/2003,23,26,78,1.9,6,16.6,107.49,60.1,0.037
1/1/2004,24,28,40,2.5,6,17,169.56,0,0
2/1/2004,23,29,45,1.9,5,16.4,134.18,20.8,0
3/1/2004,26,30,64,1.7,6,18.7,144.24,86.7,0.257
4/1/2004,25,28,83,1.1,5,17.1,109.16,140.8,0.36
5/1/2004,26,29,76,1.1,3,13.6,101.05,220.6,0.464
6/1/2004,25,28,84,0.8,3,13.3,88.12,75.4,1.92
7/1/2004,24,28,83,1.1,2,12,85.54,131.3,0.269
8/1/2004,24,27,83,1.4,3,13.8,95.45,119.3,1.24
9/1/2004,23,26,90,1.7,2,12.4,77.6,65.3,1.24
10/1/2004,24,27,81,1.9,5,16.5,109.92,182.6,0.436
11/1/2004,24,27,78,1.9,5,15.7,104.74,94,0.218
12/1/2004,24,27,73,2.2,6,16.6,118.73,13.5,0.009
1/1/2005,27,30,58,2.2,6,17,148.37,41.9,0
2/1/2005,26,29,71,1.7,5,16.4,112.73,84.1,0
3/1/2005,25,30,79,1.7,6,18.7,130.25,26.5,0
4/1/2005,25,28,81,1.4,5,17.1,112.64,108.9,0.078
5/1/2005,24,27,80,1.7,3,13.6,98.4,153.6,0.026
6/1/2005,24,28,87,1.4,3,13.3,87.1,152.5,2.19
7/1/2005,24,26,83,1.4,2,12,84.53,31.3,1.7
8/1/2005,24,27,81,1.7,3,13.8,97.41,41.2,1.31
9/1/2005,25,27,92,2.2,2,12.4,77.74,151,326.33
10/1/2005,25,27,69,2.5,5,16.5,131.58,122.9,166.6
11/1/2005,25,26,75,2.2,5,15.7,110.34,26.6,48.03
12/1/2005,23,27,72,2.5,6,16.6,120.16,18.5,7.19
1/1/2006,25,30,68,2.5,6,17,138.45,27,0.645
2/1/2006,25,28,68,2.2,5,16.4,117.55,108.7,0.297
3/1/2006,25,31,78,1.9,6,18.7,135.43,99.2,0.088
4/1/2006,23,26,73,1.4,5,17.1,112.87,77.6,0.2
5/1/2006,24,28,78,1.7,3,13.6,101.39,168.3,0.341
6/1/2006,23,27,84,1.4,3,13.3,87.1,169.7,0
7/1/2006,24,28,85,1.7,2,12,86.86,88.5,6.14
8/1/2006,23,25,83,1.7,3,13.8,93.01,20.1,0
9/1/2006,23,26,70,1.4,2,12.4,93.19,117.9,5.73
10/1/2006,23,27,74,1.4,5,16.5,111.57,99.9,4.66
11/1/2006,25,26,76,1.7,5,15.7,104.55,26.6,1.02
12/1/2006,25,26,75,1.9,6,16.6,112.62,0,0.118
1/1/2007,26,28,56,2.8,6,17,157.27,0,0.002
2/1/2007,24,29,62,1.9,5,16.4,119.95,51,0
3/1/2007,26,31,78,1.7,6,18.7,133.91,67.1,0
4/1/2007,24,29,71,1.1,5,17.1,116.76,115.9,0.425
5/1/2007,25,29,80,1.1,3,13.6,97.61,77.2,1.32
6/1/2007,25,28,79,0.8,3,13.3,90.22,137,0
7/1/2007,23,28,83,1.1,2,12,84.6,146.6,5.43
8/1/2007,24,28,82,1.4,3,13.8,97.13,81.1,3.38
9/1/2007,23,27,79,1.7,2,12.4,89.63,107.7,0
10/1/2007,25,28,74,1.9,5,16.5,120.37,129.3,13.9
11/1/2007,24,28,70,1.9,5,15.7,115.2,21.2,4.37
12/1/2007,24,27,72,2.2,6,16.6,119.63,55.6,0.623
1/1/2008,25,29,54,2.8,6,17,160.49,0,0.044
2/1/2008,26,28,61,1.9,5,16.4,122.24,34.3,0
3/1/2008,24,30,73,1.7,6,18.7,133.4,69.2,0
4/1/2008,26,30,69,1.1,5,17.1,121.9,124.9,0.291
5/1/2008,23,27,80,1.1,3,13.6,94.44,183.3,0.652
6/1/2008,24,28,85,0.8,3,13.3,84.79,111.8,0
7/1/2008,26,28,87,1.1,2,12,84.3,202.4,0
8/1/2008,23,27,81,1.4,3,13.8,95.66,232,0.968
9/1/2008,25,28,86,1.7,2,12.4,85.59,124.7,2.17
10/1/2008,24,26,91,1.9,5,16.5,98.73,135.9,1.26
11/1/2008,24,27,61,1.9,5,15.7,121.85,15,0.233
12/1/2008,24,26,62,2.2,6,16.6,129.08,4.1,0.047
1/1/2009,24,29,43,2.5,6,17,167.43,0,0
2/1/2009,25,30,70,2.2,5,16.4,118.59,44.1,0
3/1/2009,25,31,73,1.9,6,18.7,140.34,186.1,0
4/1/2009,24,28,74,1.4,5,17.1,117.22,95.6,0
5/1/2009,23,27,80,1.7,3,13.6,97.24,187.1,0
6/1/2009,24,28,72,1.4,3,13.3,98.58,199.7,1.8
7/1/2009,23,28,80,1.7,2,12,90.61,92.2,5.37
8/1/2009,24,29,83,1.7,3,13.8,98.81,22.3,13.2
9/1/2009,23,29,85,1.4,2,12.4,85.79,3.7,23.5
10/1/2009,25,27,79,1.4,5,16.5,110.74,70,13
11/1/2009,24,28,77,1.7,5,15.7,106.27,141.1,5.27
12/1/2009,25,26,60,1.9,6,16.6,128.47,0,1.27
1/1/2010,25,28,60,2.5,6,17,144.4,6.6,0.143
2/1/2010,26,28,70,2.2,5,16.4,116.3,50.1,1.41
3/1/2010,26,29,78,1.9,6,18.7,131.7,116.3,1.7
4/1/2010,25,27,75,1.4,5,17.1,115.73,168.5,1.01
5/1/2010,24,26,79,1.7,3,13.6,97.96,156,0
6/1/2010,24,27,86,1.4,3,13.3,86.28,275,1.2
7/1/2010,23,27,81,1.7,2,12,88.1,109.6,1.16
8/1/2010,24,28,84,1.7,3,13.8,95.88,95.6,0
9/1/2010,24,28,85,1.4,2,12.4,85.29,42.3,1
10/1/2010,24,26,88,1.4,4,15,94.08,112.4,1.26
11/1/2010,25,27,76,1.7,3,12.8,93.85,21.9,2.62
12/1/2010,24,27,70,1.9,4,13.8,107.66,29.4,1.07
1/1/2011,26,27,58,2.5,6,17,147.18,0.9,0.625
2/1/2011,25,28,66,2.2,5,16.4,120.03,115.7,0.341
3/1/2011,26,27,68,1.9,6,18.7,137.03,129.5,0.057
4/1/2011,25,30,74,1.4,5,17.1,120.97,114.4,0
5/1/2011,24,26,83,1.7,3,13.6,95.37,51.9,0.267
6/1/2011,23,26,86,1.4,3,13.3,85.02,172.7,0.497
7/1/2011,22,25,83,1.7,2,12,82.87,104.2,0.552
8/1/2011,23,26,85,1.7,3,13.8,90.76,29,0.566
9/1/2011,24,26,78,1.4,2,12.4,87.23,125.3,9.46
10/1/2011,25,27,65,1.4,5,16.5,121.16,122.9,18.6
11/1/2011,24,26,65,1.7,5,15.7,113.35,14.7,1.61
12/1/2011,25,27,71,1.9,6,16.6,118.68,0,0.443
1/1/2012,25,28,54,2.2,6,17,146.63,0.3,0.711
2/1/2012,26,27,75,2.2,5,16.4,108.8,39.7,0.015
3/1/2012,26,30,80,2.5,6,18.7,133.43,62.1,0.472
4/1/2012,27,29,70,1.7,7,20.2,143.27,126.4,0.03
5/1/2012,23,27,79,1.7,4,15.1,105.99,207.3,0.004
6/1/2012,24,28,80,1.4,4,14.8,98.46,162.9,2.01
7/1/2012,25,27,82,1.7,3,13.4,96.54,44,5.96
8/1/2012,23,26,83,1.4,3,13.8,92.6,15.1,1.7
9/1/2012,24,27,82,1.4,4,15.5,99.75,65,10.2
10/1/2012,23,27,78,2.2,5,16.5,114.69,152.1,2.69
11/1/2012,24,26,71,2.2,6,17.1,118.4,44.7,1.55
12/1/2012,25,26,70,2.5,6,16.6,124.45,48.1,0.07
